,ANO,COD_MUNICIPIO,MUNICIPIO,ACCESOS_FIJOS,POBLACION,INDICADOR_INTERNET,Acueducto,Alcantarillado,Energiaelectrica,Gasnatural,PERIODO,ESTU_COD_RESIDE_MCPIO,PUNT_LECTURA_CRITICA_MIN,PUNT_LECTURA_CRITICA_Q25,PUNT_LECTURA_CRITICA_MEAN,PUNT_LECTURA_CRITICA_MEDIAN,PUNT_LECTURA_CRITICA_Q75,PUNT_LECTURA_CRITICA_MAX,PUNT_LECTURA_CRITICA_STD,PUNT_MATEMATICAS_MIN,PUNT_MATEMATICAS_Q25,PUNT_MATEMATICAS_MEAN,PUNT_MATEMATICAS_MEDIAN,PUNT_MATEMATICAS_Q75,PUNT_MATEMATICAS_MAX,PUNT_MATEMATICAS_STD,PUNT_C_NATURALES_MIN,PUNT_C_NATURALES_Q25,PUNT_C_NATURALES_MEAN,PUNT_C_NATURALES_MEDIAN,PUNT_C_NATURALES_Q75,PUNT_C_NATURALES_MAX,PUNT_C_NATURALES_STD,PUNT_SOCIALES_CIUDADANAS_MIN,PUNT_SOCIALES_CIUDADANAS_Q25,PUNT_SOCIALES_CIUDADANAS_MEAN,PUNT_SOCIALES_CIUDADANAS_MEDIAN,PUNT_SOCIALES_CIUDADANAS_Q75,PUNT_SOCIALES_CIUDADANAS_MAX,PUNT_SOCIALES_CIUDADANAS_STD,PUNT_INGLES_MIN,PUNT_INGLES_Q25,PUNT_INGLES_MEAN,PUNT_INGLES_MEDIAN,PUNT_INGLES_Q75,PUNT_INGLES_MAX,PUNT_INGLES_STD,PUNT_GLOBAL_MIN,PUNT_GLOBAL_Q25,PUNT_GLOBAL_MEAN,PUNT_GLOBAL_MEDIAN,PUNT_GLOBAL_Q75,PUNT_GLOBAL_MAX,PUNT_GLOBAL_STD,INDICADOR_ACUEDUCTO,INDICADOR_ALCANTARILLADO,INDICADOR_ENERGIA_ELECTRICA,INDICADOR_GAS_NATURAL,KmDist
267,2019,25772,SUESCA,345,17902,0.0193,,,5166,2783,2019,25772,29,44.0,50.68525896414343,51.0,58.0,74,9.222610358931426,25,44.0,50.243027888446214,50.0,57.0,73,9.817163602345593,27,42.0,47.82868525896414,48.0,54.0,72,8.656935593184336,24,36.5,45.14342629482072,45.0,53.5,73,10.809040041259255,24.0,40.0,46.68525896414343,47.0,53.0,77.0,9.043480625990714,158,210.5,241.68525896414343,240.0,271.0,347,42.11223743560379,,,0.28857110937325436,0.1554574907831527,42.58866137
268,2020,25772,SUESCA,1313,18741,0.0701,,,5308,3301,2020,25772,29,45.0,51.055,52.0,56.0,71,8.559691383625612,19,43.0,50.475,51.0,57.0,75,9.380262342175733,31,42.75,48.555,48.0,54.0,73,8.38441812749599,26,40.0,48.13,48.0,55.0,100,10.775138889613086,28.0,40.75,45.87,45.0,50.25,82.0,7.920021064892548,158,218.75,246.385,244.0,272.0,387,38.82503951662297,,,0.2832292833893602,0.17613787951550078,42.58866137
270,2019,25777,SUPATA,132,5361,0.0246,,,2276,580,2019,25777,30,40.0,47.5,47.0,53.25,69,8.999999999999998,24,40.0,47.233333333333334,47.0,52.25,74,10.135299392978519,27,40.75,46.95,46.0,52.25,68,9.62416626369196,21,34.0,42.25,40.0,48.0,68,11.027892218355284,24.0,35.75,41.93333333333333,42.0,46.5,58.0,8.15083788282471,155,199.5,228.33333333333334,220.0,251.0,331,42.65377630138229,,,0.4245476590188398,0.10818877075172542,29.99355575
271,2020,25777,SUPATA,373,5543,0.0673,,,2342,594,2020,25777,27,44.0,51.24096385542169,51.0,58.5,74,10.154405942016645,21,43.0,51.86746987951807,52.0,60.5,77,11.701335221223584,32,40.5,48.795180722891565,47.0,55.0,75,10.427167887296518,26,39.0,47.16867469879518,46.0,56.0,75,11.35010398266372,29.0,38.0,44.855421686746986,44.0,50.0,76.0,8.906194788611726,163,213.0,246.93975903614458,240.0,277.5,358,47.84128979968375,,,0.42251488363701967,0.10716218654158398,29.99355575
273,2019,25779,SUSA,111,6769,0.0164,796,614,2375,516,2019,25779,30,44.0,51.2289156626506,53.0,57.5,73,9.527015888341055,27,44.0,50.8433734939759,51.0,58.0,77,10.954987646474585,31,42.5,47.87951807228916,47.0,53.5,72,8.565953010869574,23,35.0,43.28915662650602,43.0,50.0,75,10.369432235653173,30.0,39.5,47.01204819277108,45.0,54.0,78.0,10.268937266485517,160,202.0,241.04819277108433,238.0,270.0,365,43.85505605760921,0.11759491800856847,0.0907076377603782,0.35086423400797756,0.07622987147289112,71.15864279
274,2020,25779,SUSA,234,7067,0.0331,796,,2424,535,2020,25779,29,42.75,50.80357142857143,52.5,58.0,67,9.986208021534033,22,43.5,53.107142857142854,53.5,60.25,100,13.216626679271105,30,44.75,50.267857142857146,49.0,57.25,74,9.335155588962072,25,39.75,48.964285714285715,50.5,56.0,78,11.452612700267903,30.0,38.75,46.375,46.0,52.25,72.0,9.387733776292631,146,211.75,252.21428571428572,257.5,282.0,393,49.681426668767834,0.11263619640582992,,0.34300268855242677,0.07570397622753644,71.15864279
276,2019,25781,SUTATAUSA,100,6169,0.0162,324,,2068,431,2019,25781,37,49.0,55.646153846153844,56.0,62.0,79,9.613517126341511,26,46.0,55.707692307692305,56.0,64.0,84,12.094320822346585,31,40.0,48.58461538461538,48.0,56.0,78,10.809273084504092,26,40.0,48.16923076923077,46.0,58.0,78,11.541459546415195,26.0,41.0,48.43076923076923,49.0,56.0,75.0,9.85515288879571,171,227.0,258.7692307692308,249.0,298.0,394,48.58393807074041,0.052520667855406065,,0.33522450964499917,0.0698654563138272,49.35352365
277,2020,25781,SUTATAUSA,227,6441,0.0352,316,,2135,447,2020,25781,35,46.5,52.72289156626506,53.0,59.0,74,8.482856820055503,27,45.5,53.1566265060241,54.0,61.0,72,9.949239372460006,29,44.5,49.0722891566265,49.0,54.0,75,7.794280474199702,25,42.5,48.86746987951807,48.0,56.0,71,10.396729181178314,28.0,39.0,44.855421686746986,44.0,50.5,66.0,8.161678046794297,167,226.0,252.40963855421685,255.0,278.0,337,38.0984079254387,0.04906070485949387,,0.33147026859183354,0.06939916162086633,49.35352365
279,2019,25785,TABIO,2705,22983,0.1177,4333,2633,6879,3911,2019,25785,28,47.0,53.76451612903226,54.0,61.0,78,10.146469355396384,23,47.0,53.61290322580645,54.0,60.75,79,10.31471572444153,27,43.0,49.49354838709677,49.0,56.75,79,9.985343158003536,22,38.0,47.15483870967742,46.0,56.0,78,11.57451834388779,23.0,44.0,52.651612903225804,53.0,60.0,100.0,12.154929506417625,142,219.25,255.65483870967742,256.5,291.0,389,47.357897395965345,0.1885306530914154,0.11456293782360875,0.2993081843101423,0.17016925553670104,12.72504992
280,2020,25785,TABIO,3822,24206,0.1579,4617,2816,7397,4201,2020,25785,26,48.75,54.576219512195124,55.0,60.25,79,8.890446804283888,21,47.75,54.207317073170735,54.0,61.0,100,10.747292161486811,0,43.0,50.359756097560975,50.5,58.0,78,10.614966754841241,26,43.0,51.48170731707317,51.0,60.0,100,11.173621492588712,0.0,42.0,50.46951219512195,49.0,57.0,85.0,12.200377885804437,149,230.0,262.4176829268293,258.0,293.0,385,44.69221201505068,0.19073783359497645,0.11633479302652235,0.3055853920515575,0.17355201189787656,12.72504992
